id,experiment_id,family,apex_angle,rectangle_ratio,pattern,evidence,pieces,utilization,upper_bound,gap,fingerprint
"iso-a85-r1p65","isosceles/apex-85/rectangle-1.65","isosceles","85","1.65","obtuse horizontal lattice","verified_best_known","193","0.9103483746766445","0.9999681628572447","0.08961978818060012","tpa1-c3ff0bb5db313276"
"iso-a85-r1p8","isosceles/apex-85/rectangle-1.8","isosceles","85","1.8","obtuse horizontal lattice","verified_best_known","212","0.9166374826191436","0.9987889551180261","0.08215147249888255","tpa1-d4e557047a215be0"
"iso-a85-r1p95","isosceles/apex-85/rectangle-1.95","isosceles","85","1.95","obtuse horizontal lattice","verified_best_known","232","0.9259502001493825","0.9977911639540721","0.07184096380468963","tpa1-7471d6760d008827"
"iso-a85-r2p1","isosceles/apex-85/rectangle-2.1","isosceles","85","2.1","obtuse horizontal lattice","verified_best_known","252","0.9339325294610153","0.9969359143849686","0.0630033849239533","tpa1-d026712241ffcfef"
"iso-a85-r2p25","isosceles/apex-85/rectangle-2.25","isosceles","85","2.25","obtuse horizontal lattice","verified_best_known","273","0.9443095575661382","0.9996537074601197","0.05534414989398151","tpa1-61196e84964d016b"
"iso-a85-r2p4","isosceles/apex-85/rectangle-2.4","isosceles","85","2.4","obtuse horizontal lattice","verified_best_known","289","0.9371753507438667","0.9987889551180261","0.061613604374159414","tpa1-cbe0b840160c9de9"
"iso-a85-r2p55","isosceles/apex-85/rectangle-2.55","isosceles","85","2.55","obtuse horizontal lattice","verified_best_known","300","0.9156201269225649","0.9980259383455907","0.08240581142302583","tpa1-28a789bf25fe2c14"
"iso-a85-r2p7","isosceles/apex-85/rectangle-2.7","isosceles","85","2.7","obtuse horizontal lattice","verified_best_known","300","0.8647523420935337","0.9973477012145368","0.13259535912100306","tpa1-9a72fde7ed55c45c"
"iso-a85-r2p85","isosceles/apex-85/rectangle-2.85","isosceles","85","2.85","obtuse horizontal lattice","verified_best_known","300","0.819239060930716","0.9994716543354684","0.1802325934047524","tpa1-02d8064498c329c6"
"iso-a85-r3","isosceles/apex-85/rectangle-3","isosceles","85","3","obtuse horizontal lattice","verified_best_known","300","0.7782771078841803","0.9987889551180261","0.22051184723384587","tpa1-2e8bda82ec05ed42"
"iso-a90-r0p75","right/apex-90/rectangle-0.75","right","90","0.75","rectangular pairs","proven_optimal","96","1","1","0","tpa1-623b5a2e7798d3d0"
"iso-a90-r0p9","right/apex-90/rectangle-0.9","right","90","0.9","rectangular pairs","verified_best_known","112","0.9722222222222222","0.9982638888888888","0.02604166666666663","tpa1-730a5505fecc3b45"
"iso-a90-r1p05","right/apex-90/rectangle-1.05","right","90","1.05","rectangular pairs","verified_best_known","128","0.9523809523809523","0.9970238095238095","0.044642857142857206","tpa1-4acf22821505b288"
"iso-a90-r1p2","right/apex-90/rectangle-1.2","right","90","1.2","rectangular pairs","verified_best_known","144","0.9375","0.99609375","0.05859375","tpa1-b3791fe121ea2f0f"
"iso-a90-r1p35","right/apex-90/rectangle-1.35","right","90","1.35","rectangular pairs","verified_best_known","160","0.9259259259259258","0.9953703703703703","0.06944444444444453","tpa1-6662107790888823"
"iso-a90-r1p5","right/apex-90/rectangle-1.5","right","90","1.5","rectangular pairs","proven_optimal","192","1","1","0","tpa1-12c6df461dc423ff"
"iso-a90-r1p65","right/apex-90/rectangle-1.65","right","90","1.65","rectangular pairs","verified_best_known","208","0.9848484848484849","0.9990530303030304","0.014204545454545525","tpa1-d75b0ba381f0da16"
"iso-a90-r1p8","right/apex-90/rectangle-1.8","right","90","1.8","rectangular pairs","verified_best_known","224","0.9722222222222222","0.9982638888888888","0.02604166666666663","tpa1-d1a05a3cff73180b"
"iso-a90-r1p95","right/apex-90/rectangle-1.95","right","90","1.95","rectangular pairs","verified_best_known","240","0.9615384615384616","0.9975961538461539","0.03605769230769229","tpa1-badc96c2571a0524"
"iso-a90-r2p1","right/apex-90/rectangle-2.1","right","90","2.1","rectangular pairs","verified_best_known","256","0.9523809523809523","0.9970238095238095","0.044642857142857206","tpa1-e44ed013e81ec01d"
